path,bytes,modified_utc_ns
docs/mle_hand_calculation_workbook/mle_workbook_questions.tex.current3.txt,15940,1784196496254224300
docs/mle_hand_calculation_workbook/mle_workbook_questions.toc,1534,1784261331707504500
docs/mle_hand_calculation_workbook/mle_workbook_solutions.aux,2692,1784261361685333500
docs/mle_hand_calculation_workbook/mle_workbook_solutions.build1.txt,16141,1784084313217713600
docs/mle_hand_calculation_workbook/mle_workbook_solutions.build2.txt,16141,1784084320318626900
docs/mle_hand_calculation_workbook/mle_workbook_solutions.log,45399,1784261362305335100
docs/mle_hand_calculation_workbook/mle_workbook_solutions.mle35_pass1.logtxt,15884,1784261352659492800
docs/mle_hand_calculation_workbook/mle_workbook_solutions.mle35_pass2.logtxt,15884,1784261362329336400
docs/mle_hand_calculation_workbook/mle_workbook_solutions.out,2573,1784261361690333200
docs/mle_hand_calculation_workbook/mle_workbook_solutions.pdf,423131,1784261362186332000
docs/mle_hand_calculation_workbook/mle_workbook_solutions.resume1.logtxt,16140,1784186853582789200
docs/mle_hand_calculation_workbook/mle_workbook_solutions.resume2.logtxt,15933,1784186864384435800
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex,189,1784107594967955900
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.build.txt,16137,1783956501714484400
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.build1.txt,15933,1784194712631524600
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.build2.txt,15933,1784194727611865900
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.build_latest.txt,15879,1784205458032966400
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.build_latest2.txt,15879,1784205468837276600
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.current1.txt,16085,1784196428836270200
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.current2.txt,16085,1784196438998066800
docs/mle_hand_calculation_workbook/mle_workbook_solutions.tex.current3.txt,15874,1784196507936788100
docs/mle_hand_calculation_workbook/mle_workbook_solutions.toc,1535,1784261361699335000
docs/mle_hand_calculation_workbook/qa_latest_efficiency_contract.png,206480,1784210604069072600
docs/mle_hand_calculation_workbook/qa_latest_map_grounding.png,189674,1784205485812374500
docs/mle_hand_calculation_workbook/qa_latest_map_holdout.png,232142,1784205487289377300
docs/mle_hand_calculation_workbook/qa_latest_map_table.png,289177,1784205522677278300
docs/mle_hand_calculation_workbook/qa_latest_questions_p4.png,220591,1784107765545949300
docs/mle_hand_calculation_workbook/qa_latest_questions_p9.png,101462,1784107766883026900
docs/mle_hand_calculation_workbook/qa_latest_sync_boundary.png,217887,1784210605602389800
docs/mle_hand_calculation_workbook/qa_mle35_solutions_p5.png,297386,1784261608073259000
docs/mle_hand_calculation_workbook/qa_mle35_solutions_p6.png,290650,1784261629955817100
docs/mle_hand_calculation_workbook/qa_questions_p4.png,152823,1783956775299115300
docs/mle_hand_calculation_workbook/preview_resume/mle_workbook_answer_sheet-page02-2.png,26719,1784186900405109100
docs/mle_hand_calculation_workbook/preview_resume/mle_workbook_questions-page05-05.png,173304,1784186895361035500
docs/mle_hand_calculation_workbook/preview_resume/mle_workbook_solutions-page05-05.png,243015,1784186898293193700
docs/package_inventory/package_source_inventory.csv,84108,1784266969864162900
docs/package_inventory/package_source_inventory.md,47814,1784266969866165300
docs/package_inventory/solar_package_audit.json,20023,1784265850674174300
docs/package_inventory/solar_package_audit.md,13310,1784265850674174300
docs/package_inventory/workspace_file_manifest.csv,2914149,1784264137506309900
docs/pdf_check_electrical_dictionary/page_08.png,432569,1782021276000000000
docs/pdf_check_electrical_dictionary/page_24.png,429024,1782020857000000000
docs/pdf_check_electrical_dictionary/page_56.png,297283,1782020858000000000
docs/pdf_check_electrical_guide/page_16.png,294785,1781981769000000000
docs/solar_all_in_one_manual/README.md,342,1783789697271650100
docs/solar_all_in_one_manual/build_date_pass1.txt,12524,1784066593598830500
docs/solar_all_in_one_manual/build_date_pass2.txt,12524,1784066601029221000
docs/solar_all_in_one_manual/build_exactvmax_pass1.log,12377,1784187868760010200
docs/solar_all_in_one_manual/build_exactvmax_pass2.log,12377,1784187882499198900
docs/solar_all_in_one_manual/build_mle35_pass1.log,12620,1784260702690758400
docs/solar_all_in_one_manual/build_mle35_pass2.log,12534,1784260717215856500
docs/solar_all_in_one_manual/build_mle35_weatherfix_pass1.log,12620,1784262656620402200
docs/solar_all_in_one_manual/build_mle35_weatherfix_pass2.log,12534,1784262669279534200
docs/solar_all_in_one_manual/build_pass1.log,12377,1784186377391069600
docs/solar_all_in_one_manual/build_pass2.log,12377,1784186391573762500
docs/solar_all_in_one_manual/dashboard_demo.png,357242,1783928474133385600
docs/solar_all_in_one_manual/dashboard_demo_1920.png,463272,1783928574035449300
docs/solar_all_in_one_manual/dashboard_demo_final.png,417726,1783928676566070300
docs/solar_all_in_one_manual/manual-check-14.png,154854,1784141573383510000
docs/solar_all_in_one_manual/manual-check-15.png,225336,1784141573704129200
docs/solar_all_in_one_manual/manual-check-16.png,96994,1784141573864224200
docs/solar_all_in_one_manual/preview_grade_page10.png,264249,1784194742638503800
docs/solar_all_in_one_manual/qa_final_page1.png,153808,1783934485334805900
docs/solar_all_in_one_manual/qa_final_page13.png,187367,1783934486657447300
docs/solar_all_in_one_manual/qa_final_page8.png,223120,1783934500347923300
docs/solar_all_in_one_manual/qa_finalizer_page15-15.png,430486,1784150426709021300
docs/solar_all_in_one_manual/qa_mle14_p11.png,240967,1783959882005771400
docs/solar_all_in_one_manual/qa_mle14_p7.png,215206,1783959879537067000
docs/solar_all_in_one_manual/qa_mle35_candidate_split_p14.png,316407,1784264435747067500
docs/solar_all_in_one_manual/qa_mle35_weatherfix_p5.png,185008,1784262569111902300
docs/solar_all_in_one_manual/qa_mle35_weatherfix_p7.png,346774,1784262672244101500
docs/solar_all_in_one_manual/qa_official_timing_p15.png,350246,1784266544561342300
docs/solar_all_in_one_manual/solar_all_in_one_manual.aux,5916,1784266507960532300
docs/solar_all_in_one_manual/solar_all_in_one_manual.build1.txt,12734,1784066185971880400
docs/solar_all_in_one_manual/solar_all_in_one_manual.build2.txt,12524,1784066192823935500
